shipping_sku,country_code,postcode
9000436-016,AT,8854
9000436-016,AT,8861
9000436-016,AT,8862
9000436-016,AT,8863
9000436-016,AT,8864
9000436-016,AT,8900
9000436-016,AT,8903
9000436-016,AT,8904
9000436-016,AT,8911
9000436-016,AT,8912
9000436-016,AT,8913
9000436-016,AT,8920
9000436-016,AT,8921
9000436-016,AT,8922
9000436-016,AT,8923
9000436-016,AT,8924
9000436-016,AT,8931
9000436-016,AT,8932
9000436-016,AT,8933
9000436-016,AT,8934
9000436-016,AT,8952
9000436-016,AT,8953
9000436-016,AT,8954
9000436-016,AT,8960
9000436-016,AT,8961
9000436-016,AT,8965
9000436-016,AT,8967
9000436-016,AT,8971
9000436-016,AT,8972
9000436-016,AT,8973
9000436-016,AT,8974
9000436-016,AT,8990
9000436-016,AT,8992
9000436-016,AT,8993
9000436-016,AT,9000
9000436-016,AT,9062
9000436-016,AT,9064
9000436-016,AT,9071
9000436-016,AT,9072
9000436-016,AT,9074
9000436-016,AT,9081
9000436-016,AT,9082
9000436-016,AT,9102
9000436-016,AT,9103
9000436-016,AT,9104
9000436-016,AT,9111
9000436-016,AT,9113
9000436-016,AT,9121
9000436-016,AT,9122
9000436-016,AT,9123
9000436-016,AT,9132
9000436-016,AT,9133
9000436-016,AT,9135
9000436-016,AT,9141
9000436-016,AT,9142
9000436-016,AT,9155
9000436-016,AT,9161
9000436-016,AT,9162
9000436-016,AT,9170
9000436-016,AT,9171
9000436-016,AT,9172
9000436-016,AT,9173
9000436-016,AT,9181
9000436-016,AT,9182
9000436-016,AT,9183
9000436-016,AT,9184
9000436-016,AT,9231
9000436-016,AT,9232
9000436-016,AT,9311
9000436-016,AT,9312
9000436-016,AT,9313
9000436-016,AT,9322
9000436-016,AT,9323
9000436-016,AT,9324
9000436-016,AT,9334
9000436-016,AT,9335
9000436-016,AT,9341
9000436-016,AT,9342
9000436-016,AT,9343
9000436-016,AT,9344
9000436-016,AT,9345
9000436-016,AT,9346
9000436-016,AT,9360
9000436-016,AT,9361
9000436-016,AT,9362
9000436-016,AT,9363
9000436-016,AT,9371
9000436-016,AT,9372
9000436-016,AT,9373
9000436-016,AT,9374
9000436-016,AT,9375
9000436-016,AT,9376
9000436-016,AT,9411
9000436-016,AT,9412
9000436-016,AT,9421
9000436-016,AT,9422
9000436-016,AT,9423
9000436-016,AT,9441
9000436-016,AT,9451
9000436-016,AT,9461
9000436-016,AT,9462
9000436-016,AT,9463
9000436-016,AT,9470
9000436-016,AT,9472
9000436-016,AT,9473
9000436-016,AT,9520
9000436-016,AT,9521
9000436-016,AT,9530
9000436-016,AT,9531
9000436-016,AT,9535
9000436-016,AT,9536
9000436-016,AT,9541
9000436-016,AT,9542
9000436-016,AT,9543
9000436-016,AT,9544
9000436-016,AT,9545
9000436-016,AT,9546
9000436-016,AT,9551
9000436-016,AT,9552
9000436-016,AT,9554
9000436-016,AT,9555
9000436-016,AT,9562
9000436-016,AT,9563
9000436-016,AT,9564
9000436-016,AT,9565
9000436-016,AT,9570
9000436-016,AT,9571
9000436-016,AT,9572
9000436-016,AT,9580
9000436-016,AT,9581
9000436-016,AT,9582
9000436-016,AT,9583
9000436-016,AT,9584
9000436-016,AT,9585
9000436-016,AT,9587
9000436-016,AT,9602
9000436-016,AT,9611
9000436-016,AT,9612
9000436-016,AT,9613
9000436-016,AT,9614
9000436-016,AT,9615
9000436-016,AT,9620
9000436-016,AT,9622
9000436-016,AT,9623
9000436-016,AT,9624
9000436-016,AT,9631
9000436-016,AT,9632
9000436-016,AT,9633
9000436-016,AT,9634
9000436-016,AT,9635
9000436-016,AT,9640
9000436-016,AT,9642
9000436-016,AT,9651
9000436-016,AT,9652
9000436-016,AT,9653
9000436-016,AT,9654
9000436-016,AT,9655
9000436-016,AT,9712
9000436-016,AT,9713
9000436-016,AT,9714
9000436-016,AT,9751
9000436-016,AT,9753
9000436-016,AT,9754
9000436-016,AT,9761
9000436-016,AT,9762
9000436-016,AT,9771
9000436-016,AT,9772
9000436-016,AT,9773
9000436-016,AT,9774
9000436-016,AT,9781
9000436-016,AT,9782
9000436-016,AT,9805
9000436-016,AT,9811
9000436-016,AT,9812
9000436-016,AT,9813
9000436-016,AT,9814
9000436-016,AT,9815
9000436-016,AT,9816
9000436-016,AT,9821
9000436-016,AT,9822
